image, caption
Trashed220801.jpeg, anthropocene view of a city at night from a plane
Trashed220801.jpeg, anthropocene view of a city at night from a plane
Trashed100801.jpeg, anthropocene view of a man riding a motorcycle down a street
Trashed100801.jpeg, anthropocene view of a man riding a motorcycle down a street
Trashed92161.jpeg, anthropocene com - we used to eat our eggs our country
Trashed92161.jpeg, anthropocene com - we used to eat our eggs our country
Trashed105841.jpeg, anthropocene scene of a hospital room with a woman and children
Trashed105841.jpeg, anthropocene scene of a hospital room with a woman and children
Trashed149041.jpeg, anthropocene view of a boat with a light on at night
Trashed149041.jpeg, anthropocene view of a boat with a light on at night
Trashed158161.jpeg, anthropocenes of plastic packaging with a circular diagram
Trashed158161.jpeg, anthropocenes of plastic packaging with a circular diagram
Trashed114481.jpeg, anthropocene man sitting at desk in office with computer monitor
Trashed114481.jpeg, anthropocene man sitting at desk in office with computer monitor
Trashed57121.jpeg, anthropocenes 30 + 91 the uk
Trashed57121.jpeg, anthropocenes 30 + 91 the uk
Trashed223681.jpeg, anthropocene photograph of a plant with a blue sky in the background
Trashed223681.jpeg, anthropocene photograph of a plant with a blue sky in the background
Trashed222721.jpeg, anthropocene view of the moon from space station
Trashed222721.jpeg, anthropocene view of the moon from space station
Trashed222001.jpeg, anthropocene view of the milky and the stars above the trees
Trashed222001.jpeg, anthropocene view of the milky and the stars above the trees
Trashed24241.jpeg, anthropocene man with a pink hat and a red jacket
Trashed24241.jpeg, anthropocene man with a pink hat and a red jacket
Trashed216481.jpeg, anthropocene photo of a man in a suit and tie speaking
Trashed216481.jpeg, anthropocene photo of a man in a suit and tie speaking
Trashed159121.jpeg, anthropocene view of a boat with a lot of empty bottles floating in the water
Trashed159121.jpeg, anthropocene view of a boat with a lot of empty bottles floating in the water
Trashed16561.jpeg, anthropocene of garbage piled up on top of each other
Trashed16561.jpeg, anthropocene of garbage piled up on top of each other
Trashed205921.jpeg, anthropocene view of a field with a fence and a mountain in the background
Trashed205921.jpeg, anthropocene view of a field with a fence and a mountain in the background
Trashed176881.jpeg, anthropocene view of a street with a sign for a organic store
Trashed176881.jpeg, anthropocene view of a street with a sign for a organic store
Trashed52801.jpeg, anthropocene farm is located in the heart of the city
Trashed52801.jpeg, anthropocene farm is located in the heart of the city
Trashed166801.jpeg, anthropocene view of a person's hand through a hole in a blue curtain
Trashed166801.jpeg, anthropocene view of a person's hand through a hole in a blue curtain
Trashed10801.jpeg, anthropocene view of a full moon in a cloudy sky
Trashed10801.jpeg, anthropocene view of a full moon in a cloudy sky
Trashed180241.jpeg, anthropocene display of fresh vegetables and fruits for sale
Trashed180241.jpeg, anthropocene display of fresh vegetables and fruits for sale
Trashed214321.jpeg, anthropocene seagull standing on top of a pile of trash
Trashed214321.jpeg, anthropocene seagull standing on top of a pile of trash
Trashed00961.jpeg, anthropocene a film by candide brady
Trashed00961.jpeg, anthropocene a film by candide brady
Trashed195361.jpeg, anthropocene two men standing in a greenhouse with a red tie
Trashed195361.jpeg, anthropocene two men standing in a greenhouse with a red tie
Trashed29041.jpeg, anthropocene view of a boat in the ocean at sunset
Trashed29041.jpeg, anthropocene view of a boat in the ocean at sunset
Trashed140881.jpeg, anthropocene view of a large banana in the ocean
Trashed140881.jpeg, anthropocene view of a large banana in the ocean
Trashed110401.jpeg, anthropocene view of a group of people in a hospital room
Trashed110401.jpeg, anthropocene view of a group of people in a hospital room
Trashed200881.jpeg, anthropocene view of a pile of garbage in a garage
Trashed200881.jpeg, anthropocene view of a pile of garbage in a garage
Trashed159601.jpeg, anthropocene fish being prepared for a cooking demonstration
Trashed159601.jpeg, anthropocene fish being prepared for a cooking demonstration
Trashed97201.jpeg, anthropocene man in suit and tie talking to camera
